rank,personName,age,finalWorth,category,countryOfCitizenship,selfMade,gender,continent,Age Classification
35,Beate Heister & Karl Albrecht Jr. & family,,36800,Fashion & Retail,Germany,FALSE,F,Europe,NA
36,Giovanni Ferrero,57,36200,Food & Beverage,Italy,FALSE,M,Europe,middle age
37,Li Ka-shing,93,34800,Diversified,Hong Kong,TRUE,M,,old age
37,Stephen Schwarzman,75,34800,Finance & Investments,United States,TRUE,M,North America,old age
39,Lee Shau Kee,94,32600,Real Estate,Hong Kong,TRUE,M,,old age
40,Len Blavatnik,64,32500,Diversified,United States,TRUE,M,North America,old age
41,Jacqueline Mars,82,31700,Food & Beverage,United States,FALSE,F,North America,old age
41,John Mars,86,31700,Food & Beverage,United States,FALSE,M,North America,old age
43,Alain Wertheimer,73,31200,Fashion & Retail,France,FALSE,M,Europe,old age
43,Gerard Wertheimer,71,31200,Fashion & Retail,France,FALSE,M,Europe,old age
45,German Larrea Mota Velasco & family,68,30800,Metals & Mining,Mexico,FALSE,M,North America,old age
46,Gina Rinehart,68,30200,Metals & Mining,Australia,FALSE,F,Australia,old age
47,Shiv Nadar,76,28700,Technology,India,TRUE,M,Asia,old age
48,Jim Simons,83,28600,Finance & Investments,United States,TRUE,M,North America,old age
49,He Xiangjian,79,28300,Manufacturing,China,TRUE,M,Asia,old age
50,Miriam Adelson,76,27500,Gambling & Casinos,United States,FALSE,F,North America,old age
51,Dietrich Mateschitz,77,27400,Food & Beverage,Austria,TRUE,M,Europe,old age
52,Leonardo Del Vecchio & family,86,27300,Fashion & Retail,Italy,TRUE,M,Europe,old age
53,Ken Griffin,53,27200,Finance & Investments,United States,TRUE,M,North America,middle age
54,Tadashi Yanai & family,73,26100,Fashion & Retail,Japan,TRUE,M,Asia,old age
55,William Lei Ding,50,25200,Technology,China,TRUE,M,Asia,middle age
56,Susanne Klatten,59,24300,Automotive,Germany,FALSE,F,Europe,middle age
56,Cyrus Poonawalla,80,24300,Healthcare,India,FALSE,M,Asia,old age
56,Wang Wei,51,24300,Service,China,TRUE,M,Asia,middle age
59,Qin Yinglin,56,24100,Food & Beverage,China,TRUE,M,Asia,middle age
60,Sam Bankman-Fried,30,24000,Finance & Investments,United States,TRUE,M,North America,youth
61,Takemitsu Takizaki,76,23900,Manufacturing,Japan,TRUE,M,Asia,old age
62,Li Shufu,58,23700,Automotive,China,TRUE,M,Asia,middle age
63,Emmanuel Besnier,51,23500,Food & Beverage,France,FALSE,M,Europe,middle age
64,R. Budi Hartono,81,23200,Finance & Investments,Indonesia,FALSE,M,Asia,old age
65,Leonard Lauder,89,23100,Fashion & Retail,United States,FALSE,M,North America,old age
66,Guillaume Pousaz,40,23000,Finance & Investments,Switzerland,TRUE,M,Europe,youth
67,Iris Fontbona & family,79,22800,Metals & Mining,Chile,FALSE,F,South America,old age
67,Jack Ma,57,22800,Technology,China,TRUE,M,Asia,middle age
69,Michael Hartono,82,22300,Manufacturing,Indonesia,FALSE,M,Asia,old age
70,Eric Schmidt,66,22100,Technology,United States,TRUE,M,North America,old age
71,Ray Dalio,72,22000,Finance & Investments,United States,TRUE,M,North America,old age
71,Daniel Gilbert,60,22000,Finance & Investments,United States,TRUE,M,North America,middle age
73,"Thomas Frist, Jr. & family",83,21800,Healthcare,United States,TRUE,M,North America,old age
74,Masayoshi Son,64,21300,Telecom,Japan,TRUE,M,Asia,old age
75,Abigail Johnson,60,21200,Finance & Investments,United States,FALSE,F,North America,middle age
76,Rupert Murdoch & family,91,20800,Media & Entertainment,United States,FALSE,M,North America,old age
77,Stefan Quandt,55,20700,Automotive,Germany,FALSE,M,Europe,middle age
78,Jensen Huang,59,20600,Technology,United States,TRUE,M,North America,middle age
79,Huang Shilin,55,20300,Automotive,China,TRUE,M,Asia,middle age
80,Thomas Peterffy,77,20100,Finance & Investments,United States,TRUE,M,North America,old age
81,Radhakishan Damani,67,20000,Fashion & Retail,India,TRUE,M,Asia,old age
82,Pang Kang,66,19600,Food & Beverage,China,TRUE,M,Asia,old age
83,Wang Chuanfu,56,19500,Automotive,China,TRUE,M,Asia,middle age
84,Reinhold Wuerth & family,86,19000,Manufacturing,Germany,TRUE,M,Europe,old age
85,"Theo Albrecht, Jr. & family",71,18700,Fashion & Retail,Germany,FALSE,M,Europe,old age
85,Yang Huiyan & family,40,18700,Real Estate,China,FALSE,F,Asia,youth
87,Vladimir Lisin,65,18400,Metals & Mining,Russia,TRUE,M,Europe,old age
88,Fan Hongwei & family,55,18200,Energy,China,TRUE,F,Asia,middle age
89,Lakshmi Mittal,71,17900,Metals & Mining,India,FALSE,M,Asia,old age
90,Andrew Forrest,60,17800,Metals & Mining,Australia,TRUE,M,Australia,middle age
91,Jiang Rensheng & family,68,17700,Healthcare,China,TRUE,M,Asia,old age
91,Savitri Jindal & family,72,17700,Metals & Mining,India,FALSE,F,Asia,old age
91,Wang Wenyin,54,17700,Metals & Mining,China,TRUE,M,Asia,middle age
94,Li Xiting,71,17600,Healthcare,Singapore,TRUE,M,Asia,old age
94,Stefan Persson,74,17600,Fashion & Retail,Sweden,FALSE,M,Europe,old age
96,Steve Cohen,65,17400,Finance & Investments,United States,TRUE,M,North America,old age
97,Vladimir Potanin,61,17300,Metals & Mining,Russia,TRUE,M,Europe,old age
98,Harold Hamm & family,76,17200,Energy,United States,TRUE,M,North America,old age
99,Sun Piaoyang,63,17100,Healthcare,China,TRUE,M,Asia,old age
100,Luo Liguo & family,66,17000,Manufacturing,China,TRUE,M,Asia,old age
100,Peter Woo,75,17000,Real Estate,Hong Kong,FALSE,M,,old age
102,Gianluigi & Rafaela Aponte,81,16800,Logistics,Switzerland,TRUE,,Europe,old age
103,David Tepper,64,16700,Finance & Investments,United States,TRUE,M,North America,old age
104,Renata Kellnerova & family,54,16600,Finance & Investments,Czechia,FALSE,F,Europe,middle age
104,"John Menard, Jr.",82,16600,Fashion & Retail,United States,TRUE,M,North America,old age
106,Kumar Birla,54,16500,Diversified,India,FALSE,M,Asia,middle age
106,Carl Icahn,86,16500,Finance & Investments,United States,TRUE,M,North America,old age
106,Hank & Doug Meijer,,16500,Fashion & Retail,United States,FALSE,M,North America,NA
106,Lukas Walton,35,16500,Fashion & Retail,United States,FALSE,M,North America,youth
110,Laurene Powell Jobs & family,58,16400,Technology,United States,FALSE,F,North America,middle age
111,James Ratcliffe,69,16300,Manufacturing,United Kingdom,TRUE,M,Europe,old age
112,Donald Bren,89,16200,Real Estate,United States,TRUE,M,North America,old age
113,Xu Hang,55,16100,Healthcare,Hong Kong,TRUE,M,,middle age
114,Lu Xiangyang,59,15700,Automotive,China,TRUE,M,Asia,middle age
115,Dilip Shanghvi,66,15600,Healthcare,India,TRUE,M,Asia,old age
116,Wei Jianjun & family,58,15500,Automotive,China,TRUE,M,Asia,middle age
117,Jorge Paulo Lemann & family,82,15400,Food & Beverage,Brazil,TRUE,M,South America,old age
117,Eyal Ofer,71,15400,Diversified,Israel,FALSE,M,Asia,old age
119,Mike Cannon-Brookes,42,15300,Technology,Australia,TRUE,M,Australia,youth
119,Wu Yajun,58,15300,Real Estate,China,TRUE,F,Asia,middle age
121,Charlene de Carvalho-Heineken & family,67,15200,Food & Beverage,Netherlands,FALSE,F,Europe,old age
121,Michael Platt,54,15200,Finance & Investments,United Kingdom,TRUE,M,Europe,middle age
123,Pavel Durov,37,15100,Technology,Russia,TRUE,M,Europe,youth
123,Scott Farquhar,42,15100,Technology,Australia,TRUE,M,Australia,youth
125,Pallonji Mistry,92,15000,Construction & Engineering,Ireland,FALSE,M,Europe,old age
126,Dang Yanbao,49,14800,Metals & Mining,China,TRUE,M,Asia,middle age
127,Robert Pera,44,14600,Technology,United States,TRUE,M,North America,youth
128,Donald Newhouse,92,14400,Media & Entertainment,United States,FALSE,M,North America,old age
129,Uday Kotak,63,14300,Finance & Investments,India,TRUE,M,Asia,old age
130,Aliko Dangote,64,14000,Manufacturing,Nigeria,TRUE,M,Africa,old age
130,Leonid Mikhelson,66,14000,Energy,Russia,TRUE,M,Europe,old age
132,Sunil Mittal & family,64,13900,Telecom,India,TRUE,M,Asia,old age
133,Robert & Philip Ng,,13700,Real Estate,Singapore,FALSE,M,Asia,NA
134,Liu Hanyuan,58,13650,Food & Beverage,China,TRUE,M,Asia,middle age
135,Joseph Lau,70,13600,Real Estate,Hong Kong,TRUE,M,,old age
135,Anders Holch Povlsen,49,13600,Fashion & Retail,Denmark,FALSE,M,Europe,middle age
137,Dhanin Chearavanont,82,13500,Diversified,Thailand,FALSE,M,Asia,old age
138,Gong Hongjia & family,57,13200,Finance & Investments,Hong Kong,TRUE,M,,middle age
138,Liu Yongxing,73,13200,Service,China,TRUE,M,Asia,old age
138,Alexey Mordashov,56,13200,Metals & Mining,Russia,TRUE,M,Europe,middle age
138,Wang Jianlin,67,13200,Real Estate,China,TRUE,M,Asia,old age
142,David Duffield,81,12900,Technology,United States,TRUE,M,North America,old age
142,Li Zhenguo & family,54,12900,Manufacturing,China,TRUE,M,Asia,middle age
144,Harry Triguboff,89,12800,Real Estate,Australia,TRUE,M,Australia,old age
144,Zhang Zhidong,50,12800,Technology,China,TRUE,M,Asia,middle age
146,Chen Bang,56,12700,Healthcare,China,TRUE,M,Asia,middle age
146,John Doerr,70,12700,Technology,United States,TRUE,M,North America,old age
146,Hinduja brothers,,12700,Diversified,United Kingdom,FALSE,M,Europe,NA
149,Kwong Siu-hing,92,12600,Real Estate,Hong Kong,FALSE,F,,old age
150,Pei Zhenhua,63,12500,Energy,China,TRUE,M,Asia,old age
151,Ricardo Salinas Pliego & family,66,12400,Fashion & Retail,Mexico,FALSE,M,North America,old age
152,Jim Pattison,93,12200,Diversified,Canada,TRUE,M,North America,old age
152,Charles Schwab,84,12200,Finance & Investments,United States,TRUE,M,North America,old age
154,Goh Cheng Liang,94,12100,Manufacturing,Singapore,TRUE,M,Asia,old age
154,Lin Jianhua & family,59,12100,Manufacturing,China,TRUE,M,Asia,middle age
156,Charoen Sirivadhanabhakdi,77,12000,Food & Beverage,Thailand,TRUE,M,Asia,old age
156,Jeff Yass,63,12000,Finance & Investments,United States,TRUE,M,North America,old age
158,John Fredriksen,77,11900,Logistics,Cyprus,TRUE,M,Europe,old age
158,Andreas Struengmann & family,72,11900,Healthcare,Germany,TRUE,M,Europe,old age
158,Thomas Struengmann & family,72,11900,Healthcare,Germany,TRUE,M,Europe,old age
161,Mikhail Fridman,57,11800,Energy,Russia,TRUE,M,Europe,middle age
161,Sarath Ratanavadi,56,11800,Energy,Thailand,TRUE,M,Asia,middle age
163,Robert Kuok,98,11700,Diversified,Malaysia,TRUE,M,Asia,old age
163,Lei Jun,52,11700,Technology,China,TRUE,M,Asia,middle age
163,Zhang Congyuan,74,11700,Fashion & Retail,Taiwan,TRUE,M,Asia,old age
166,Lui Che Woo,93,11600,Gambling & Casinos,Hong Kong,TRUE,M,,old age
167,Brian Chesky,40,11500,Technology,United States,TRUE,M,North America,youth
167,Israel Englander,73,11500,Finance & Investments,United States,TRUE,M,North America,old age
167,Dustin Moskovitz,37,11500,Technology,United States,TRUE,M,North America,youth
167,Alisher Usmanov,68,11500,Metals & Mining,Russia,TRUE,M,Europe,old age
171,Jay Chaudhry,62,11400,Technology,United States,TRUE,M,North America,old age
171,Anthony Pratt,61,11400,Manufacturing,Australia,FALSE,M,Australia,old age
173,Colin Zheng Huang,42,11300,Technology,China,TRUE,M,Asia,youth
173,Jin Baofang,69,11300,Energy,China,TRUE,M,Asia,old age
173,Pierre Omidyar,54,11300,Technology,United States,TRUE,M,North America,middle age
173,Gennady Timchenko,69,11300,Energy,Russia,TRUE,M,Europe,old age
177,Carl Cook,59,11100,Healthcare,United States,FALSE,M,North America,middle age
177,Andrey Melnichenko,50,11100,Metals & Mining,Russia,TRUE,M,Europe,middle age
179,Xing Wang,43,11000,Technology,China,TRUE,M,Asia,youth
180,Philip Anschutz,82,10900,Finance & Investments,United States,FALSE,M,North America,old age
180,David Cheriton,71,10900,Technology,Canada,TRUE,M,North America,old age
180,Alexander Otto,54,10900,Real Estate,Germany,FALSE,M,Europe,middle age
183,Diane Hendricks,75,10700,Construction & Engineering,United States,TRUE,F,North America,old age
183,Stanley Kroenke,74,10700,Sports,United States,TRUE,M,North America,old age
185,Jerry Jones,79,10600,Sports,United States,TRUE,M,North America,old age
185,Quek Leng Chan,80,10600,Diversified,Malaysia,FALSE,M,Asia,old age
185,Eduardo Saverin,40,10600,Technology,Brazil,TRUE,M,South America,youth
188,Vagit Alekperov,71,10500,Energy,Russia,TRUE,M,Europe,old age
188,Richard Qiangdong Liu,48,10500,Technology,China,TRUE,M,Asia,middle age
188,Idan Ofer,66,10500,Diversified,Israel,FALSE,M,Asia,old age
191,Melker Schorling & family,74,10400,Finance & Investments,Sweden,TRUE,M,Europe,old age
192,"Chase Coleman, III.",46,10300,Finance & Investments,United States,TRUE,M,North America,middle age
192,Shuirong Li,65,10300,Manufacturing,China,TRUE,M,Asia,old age
192,Stefano Pessina,80,10300,Fashion & Retail,Monaco,FALSE,M,Europe,old age
192,Mikhail Prokhorov,56,10300,Finance & Investments,Russia,TRUE,M,Europe,middle age
192,Marcel Herrmann Telles,72,10300,Food & Beverage,Brazil,TRUE,M,South America,old age
197,Leon Black,70,10000,Finance & Investments,United States,TRUE,M,North America,old age
197,Joe Gebbia,40,10000,Technology,United States,TRUE,M,North America,youth
197,David Geffen,79,10000,Media & Entertainment,United States,TRUE,M,North America,old age
197,Yu Renrong,56,10000,Manufacturing,China,TRUE,M,Asia,middle age
201,Andrew Beal,69,9900,Finance & Investments,United States,TRUE,M,North America,old age
201,George Kaiser,79,9900,Energy,United States,FALSE,M,North America,old age
201,Qi Shi & family,52,9900,Technology,China,TRUE,M,Asia,middle age
201,Luis Carlos Sarmiento,89,9900,Finance & Investments,Colombia,TRUE,M,South America,old age
201,Andreas von Bechtolsheim & family,66,9900,Technology,Germany,TRUE,M,Europe,old age
206,Jan Koum,46,9800,Technology,United States,TRUE,M,North America,middle age
206,Jorge Moll Filho & family,77,9800,Healthcare,Brazil,TRUE,M,South America,old age
206,Azim Premji,76,9800,Technology,India,FALSE,M,Asia,old age
206,Finn Rausing,67,9800,Food & Beverage,Sweden,FALSE,M,Europe,old age
206,Jorn Rausing,62,9800,Food & Beverage,Sweden,FALSE,M,Europe,old age
206,Kirsten Rausing,69,9800,Food & Beverage,Sweden,FALSE,F,Europe,old age
206,Wang Laisheng,57,9800,Technology,China,TRUE,M,Asia,middle age
213,Tom & Judy Love,,9700,Fashion & Retail,United States,TRUE,,North America,NA
214,John Collison,31,9500,Technology,Ireland,TRUE,M,Europe,youth
214,Patrick Collison,33,9500,Technology,Ireland,TRUE,M,Europe,youth
214,Gordon Moore,93,9500,Technology,United States,TRUE,M,North America,old age
214,Wang Laichun,54,9500,Technology,China,TRUE,F,Asia,middle age
218,Graeme Hart,66,9400,Finance & Investments,New Zealand,TRUE,M,Australia,old age
218,Zheng Shuliang & family,76,9400,Metals & Mining,China,FALSE,F,Asia,old age
220,Cao Renxian,53,9300,Energy,China,TRUE,M,Asia,middle age
221,Nathan Blecharczyk,38,9200,Technology,United States,TRUE,M,North America,youth
221,James Dyson,74,9200,Manufacturing,United Kingdom,TRUE,M,Europe,old age
223,Ivan Glasenberg,65,9100,Metals & Mining,Switzerland,TRUE,M,Europe,old age
223,Kim Beom-su,56,9100,Technology,South Korea,TRUE,M,Asia,middle age
223,Jay Y. Lee,53,9100,Diversified,South Korea,FALSE,M,Asia,middle age
223,Liu Yonghao & family,70,9100,Service,China,TRUE,M,Asia,old age
227,Ann Walton Kroenke,73,9000,Fashion & Retail,United States,FALSE,F,North America,old age
227,Li Ping,54,9000,Automotive,Hong Kong,TRUE,M,,middle age
227,Eric Wittouck,75,9000,Finance & Investments,Belgium,FALSE,M,Europe,old age
230,Ian & Richard Livingstone,,8900,Real Estate,United Kingdom,TRUE,M,Europe,NA
230,Friedhelm Loh,75,8900,Manufacturing,Germany,FALSE,M,Europe,old age
230,Xavier Niel,54,8900,Telecom,France,TRUE,M,Europe,middle age
230,Michael Otto,78,8900,Fashion & Retail,Germany,FALSE,M,Europe,old age
230,Johann Rupert & family,71,8900,Fashion & Retail,South Africa,FALSE,M,,old age
235,Hui Ka Yan,63,8800,Real Estate,China,TRUE,M,Asia,old age
235,Pauline MacMillan Keinath,88,8800,Food & Beverage,United States,FALSE,F,North America,old age
235,"Herbert Kohler, Jr. & family",83,8800,Manufacturing,United States,FALSE,M,North America,old age
235,Li Ge,55,8800,Healthcare,United States,TRUE,M,North America,middle age
235,Kushal Pal Singh,90,8800,Real Estate,India,FALSE,M,Asia,old age
235,Zong Qinghou,76,8800,Food & Beverage,China,TRUE,M,Asia,old age
241,Cai Kui,59,8700,Real Estate,China,TRUE,M,Asia,middle age
241,Charles Ergen,69,8700,Media & Entertainment,United States,TRUE,M,North America,old age
241,Gao Jifan & family,57,8700,Energy,China,TRUE,M,Asia,middle age
241,Bernard Marcus,92,8700,Fashion & Retail,United States,TRUE,M,North America,old age
241,Nicky Oppenheimer & family,76,8700,Metals & Mining,South Africa,FALSE,M,,old age
246,Bajaj brothers,,8600,Diversified,India,FALSE,M,Asia,NA
246,"Ernest Garcia, II.",64,8600,Automotive,United States,TRUE,M,North America,old age
246,Paul Xiaoming Lee & family,64,8600,Manufacturing,United States,TRUE,M,North America,old age
246,George Soros,91,8600,Finance & Investments,United States,TRUE,M,North America,old age
246,Wang Liping & family,56,8600,Manufacturing,China,TRUE,M,Asia,middle age
251,Ernesto Bertarelli,56,8500,Healthcare,Switzerland,FALSE,M,Europe,middle age
251,Tamara Gustavson,60,8500,Service,United States,FALSE,F,North America,middle age
251,Carlos Alberto Sicupira & family,74,8500,Food & Beverage,Brazil,TRUE,M,South America,old age
254,Laurent Dassault,68,8400,Diversified,France,FALSE,M,Europe,old age
254,Thierry Dassault,65,8400,Diversified,France,FALSE,M,Europe,old age
254,Marie-Hélène Habert-Dassault,57,8400,Diversified,France,FALSE,F,Europe,middle age
254,Liu Jincheng & family,57,8400,Technology,China,TRUE,M,Asia,middle age
254,Ma Jianrong & family,58,8400,Fashion & Retail,China,TRUE,M,Asia,middle age
254,Steven Rales,71,8400,Manufacturing,United States,TRUE,M,North America,old age
254,Joseph Tsai,58,8400,Technology,Canada,TRUE,M,North America,middle age
254,Francine von Finck & family,,8400,Finance & Investments,Germany,FALSE,F,Europe,NA
254,Anthony von Mandl,72,8400,Food & Beverage,Canada,TRUE,M,North America,old age
263,Carl Bennet,70,8300,Finance & Investments,Sweden,TRUE,M,Europe,old age
263,Robert Kraft,80,8300,Sports,United States,TRUE,M,North America,old age
263,Chairul Tanjung,59,8300,Diversified,Indonesia,TRUE,M,Asia,middle age
263,Manuel Villar,72,8300,Real Estate,Philippines,TRUE,M,Asia,old age
267,Jean-Michel Besnier,54,8200,Food & Beverage,France,FALSE,M,Europe,middle age
267,Marie Besnier Beauvalot,41,8200,Food & Beverage,France,FALSE,F,Europe,youth
267,Gustaf Douglas,84,8200,Diversified,Sweden,TRUE,M,Europe,old age
267,Kjeld Kirk Kristiansen,74,8200,Manufacturing,Denmark,FALSE,M,Europe,old age
267,Sofie Kirk Kristiansen,46,8200,Manufacturing,Denmark,FALSE,F,Europe,middle age
267,Thomas Kirk Kristiansen,43,8200,Manufacturing,Denmark,FALSE,M,Europe,youth
267,Stephen Ross,81,8200,Real Estate,United States,TRUE,M,North America,old age
267,Agnete Kirk Thinggaard,38,8200,Manufacturing,Denmark,FALSE,F,Europe,youth
275,Marc Benioff,57,8100,Technology,United States,TRUE,M,North America,middle age
275,Dmitri Bukhman,36,8100,Media & Entertainment,Israel,TRUE,M,Asia,youth
275,Igor Bukhman,40,8100,Media & Entertainment,Israel,TRUE,M,Asia,youth
275,Francis Choi,74,8100,Real Estate,Hong Kong,TRUE,M,,old age
275,Murali Divi & family,71,8100,Healthcare,India,TRUE,M,Asia,old age
275,Nancy Walton Laurie,70,8100,Fashion & Retail,United States,FALSE,F,North America,old age
275,Georg Schaeffler,57,8100,Automotive,Germany,FALSE,M,Europe,middle age
275,Yao Liangsong,57,8100,Manufacturing,China,TRUE,M,Asia,middle age
275,Zhong Huijuan,61,8100,Healthcare,China,TRUE,F,Asia,old age
284,Stewart & Lynda Resnick,,8000,Food & Beverage,United States,TRUE,,North America,NA
284,George Roberts,78,8000,Finance & Investments,United States,TRUE,M,North America,old age
284,Michael Rubin,49,8000,Fashion & Retail,United States,TRUE,M,North America,middle age
284,Patrick Ryan,84,8000,Finance & Investments,United States,TRUE,M,North America,old age
288,Christopher Hohn,55,7900,Finance & Investments,United Kingdom,TRUE,M,Europe,middle age
288,Marijke Mars,57,7900,Food & Beverage,United States,FALSE,F,North America,middle age
288,Pamela Mars,61,7900,Food & Beverage,United States,FALSE,F,North America,old age
288,Valerie Mars,63,7900,Food & Beverage,United States,FALSE,F,North America,old age
288,Victoria Mars,65,7900,Food & Beverage,United States,FALSE,F,North America,old age
288,Hasso Plattner & family,78,7900,Technology,Germany,TRUE,M,Europe,old age
288,Georg Stumpf,49,7900,Diversified,Austria,TRUE,M,Europe,middle age
288,Christy Walton,73,7900,Fashion & Retail,United States,FALSE,F,North America,old age
296,Giorgio Armani,87,7800,Fashion & Retail,Italy,TRUE,M,Europe,old age
296,Gopikishan Damani,64,7800,Fashion & Retail,India,TRUE,M,Asia,old age
296,Ding Shizhong & family,51,7800,Fashion & Retail,China,TRUE,M,Asia,middle age
296,Jim Kennedy,74,7800,Media & Entertainment,United States,FALSE,M,North America,old age
296,German Khan,60,7800,Energy,Russia,TRUE,M,Europe,middle age
296,Liang Wengen,65,7800,Manufacturing,China,TRUE,M,Asia,old age
296,Blair Parry-Okeden,71,7800,Media & Entertainment,United States,FALSE,F,North America,old age
296,Tsai Eng-meng,65,7800,Food & Beverage,Taiwan,FALSE,M,Asia,old age
304,Bajaj siblings,,7700,Automotive,India,FALSE,,Asia,NA
304,Ashwin Dani & family,79,7700,Manufacturing,India,FALSE,M,Asia,old age
304,Ding Shijia,58,7700,Fashion & Retail,China,TRUE,M,Asia,middle age
304,Karel Komarek,53,7700,Gambling & Casinos,Czechia,TRUE,M,Europe,middle age
304,Henry Kravis,78,7700,Finance & Investments,United States,TRUE,M,North America,old age
304,Frederik Paulsen,71,7700,Healthcare,Sweden,FALSE,M,Europe,old age
304,Safra siblings,,7700,Finance & Investments,Brazil,FALSE,,South America,NA
304,Nassef Sawiris,61,7700,Construction & Engineering,Egypt,FALSE,M,Africa,old age
304,Xu Shihui,64,7700,Food & Beverage,China,TRUE,M,Asia,old age
313,Rahel Blocher,46,7600,Manufacturing,Switzerland,FALSE,F,Europe,middle age
313,Shahid Khan,71,7600,Automotive,United States,TRUE,M,North America,old age
313,Magdalena Martullo-Blocher,53,7600,Manufacturing,Switzerland,FALSE,F,Europe,middle age
316,Vincent Bolloré & family,70,7500,Finance & Investments,France,FALSE,M,Europe,old age
316,Jeffery Hildebrand,63,7500,Energy,United States,TRUE,M,North America,old age
316,Michael Kim,58,7500,Finance & Investments,United States,TRUE,M,North America,middle age
316,Richard Kinder,77,7500,Energy,United States,TRUE,M,North America,old age
316,David Shaw,71,7500,Finance & Investments,United States,TRUE,M,North America,old age
321,John Malone,81,7400,Media & Entertainment,United States,TRUE,M,North America,old age
321,Vicky Safra,69,7400,Finance & Investments,Greece,FALSE,F,Europe,old age
321,Tim Sweeney,51,7400,Media & Entertainment,United States,TRUE,M,North America,middle age
324,Mike Adenuga,68,7300,Diversified,Nigeria,TRUE,M,Africa,old age
324,David Green & family,80,7300,Fashion & Retail,United States,TRUE,M,North America,old age
324,"Paul Tudor Jones, II.",67,7300,Finance & Investments,United States,TRUE,M,North America,old age
324,Yuri Milner,60,7300,Finance & Investments,Israel,TRUE,M,Asia,middle age
324,Henry Samueli,67,7300,Technology,United States,TRUE,M,North America,old age
324,Patrick Soon-Shiong,69,7300,Healthcare,United States,TRUE,M,North America,old age
330,Antonia Ax:son Johnson & family,78,7200,Diversified,Sweden,FALSE,F,Europe,old age
330,Michael Kadoorie,80,7200,Energy,Hong Kong,FALSE,M,,old age
330,Lin Shu-hong,93,7200,Manufacturing,Taiwan,TRUE,M,Asia,old age
330,Niels Peter Louis-Hansen,74,7200,Healthcare,Denmark,FALSE,M,Europe,old age
330,Reinhold Schmieding,67,7200,Healthcare,United States,TRUE,M,North America,old age
330,Wee Cho Yaw,93,7200,Finance & Investments,Singapore,FALSE,M,Asia,old age
336,Silvio Berlusconi & family,85,7100,Diversified,Italy,TRUE,M,Europe,old age
336,Arthur Blank,79,7100,Sports,United States,TRUE,M,North America,old age
336,Qian Dongqi & family,64,7100,Manufacturing,China,TRUE,M,Asia,old age
336,J. Christopher Reyes,68,7100,Food & Beverage,United States,TRUE,M,North America,old age
336,Jude Reyes,66,7100,Food & Beverage,United States,TRUE,M,North America,old age
336,Nik Storonsky,37,7100,Finance & Investments,United Kingdom,TRUE,M,Europe,youth
336,Zhou Qunfei & family,52,7100,Technology,Hong Kong,TRUE,F,,middle age
